Inizio validità (UTC),Fine validità (UTC),Direzione media degli ultimi 10 minuti del vento a 10 m dal suolo (DEGREE TRUE),Velocita' media degli ultimi 10 minuti del vento a 10 m dal suolo (M/S)
2019-02-21 04:00:00+00:00,2019-02-21 04:00:00+00:00,228,0.8
2019-02-21 05:00:00+00:00,2019-02-21 05:00:00+00:00,188,0.6
2019-02-21 06:00:00+00:00,2019-02-21 06:00:00+00:00,192,1.2
2019-02-21 07:00:00+00:00,2019-02-21 07:00:00+00:00,200,1.1
2019-02-21 08:00:00+00:00,2019-02-21 08:00:00+00:00,188,0.7
2019-02-21 09:00:00+00:00,2019-02-21 09:00:00+00:00,1,0.5
2019-02-21 10:00:00+00:00,2019-02-21 10:00:00+00:00,20,1.7
2019-02-21 11:00:00+00:00,2019-02-21 11:00:00+00:00,5,1.5
2019-02-21 12:00:00+00:00,2019-02-21 12:00:00+00:00,48,1.9
2019-02-21 13:00:00+00:00,2019-02-21 13:00:00+00:00,49,2.1
2019-02-21 14:00:00+00:00,2019-02-21 14:00:00+00:00,59,1.5
2019-02-21 15:00:00+00:00,2019-02-21 15:00:00+00:00,104,1.2
2019-02-21 16:00:00+00:00,2019-02-21 16:00:00+00:00,94,1.2
2019-02-21 17:00:00+00:00,2019-02-21 17:00:00+00:00,117,0.8
2019-02-21 18:00:00+00:00,2019-02-21 18:00:00+00:00,114,0.7
2019-02-21 19:00:00+00:00,2019-02-21 19:00:00+00:00,153,0.5
2019-02-21 20:00:00+00:00,2019-02-21 20:00:00+00:00,183,1
2019-02-21 21:00:00+00:00,2019-02-21 21:00:00+00:00,153,0.4
2019-02-21 22:00:00+00:00,2019-02-21 22:00:00+00:00,295,0.7
2019-02-21 23:00:00+00:00,2019-02-21 23:00:00+00:00,171,1.6
2019-02-22 00:00:00+00:00,2019-02-22 00:00:00+00:00,301,0.8
2019-02-22 01:00:00+00:00,2019-02-22 01:00:00+00:00,281,1.1
2019-02-22 02:00:00+00:00,2019-02-22 02:00:00+00:00,206,1.1
2019-02-22 03:00:00+00:00,2019-02-22 03:00:00+00:00,198,0.6
2019-02-22 04:00:00+00:00,2019-02-22 04:00:00+00:00,253,0.4
2019-02-22 05:00:00+00:00,2019-02-22 05:00:00+00:00,225,1.1
2019-02-22 06:00:00+00:00,2019-02-22 06:00:00+00:00,251,2.7
2019-02-22 07:00:00+00:00,2019-02-22 07:00:00+00:00,268,0.7
2019-02-22 08:00:00+00:00,2019-02-22 08:00:00+00:00,262,2
2019-02-22 09:00:00+00:00,2019-02-22 09:00:00+00:00,344,2.1
2019-02-22 10:00:00+00:00,2019-02-22 10:00:00+00:00,337,2.3
2019-02-22 11:00:00+00:00,2019-02-22 11:00:00+00:00,25,2.3
2019-02-22 12:00:00+00:00,2019-02-22 12:00:00+00:00,53,2.4
2019-02-22 13:00:00+00:00,2019-02-22 13:00:00+00:00,67,2.8
2019-02-22 14:00:00+00:00,2019-02-22 14:00:00+00:00,57,0.8
2019-02-22 15:00:00+00:00,2019-02-22 15:00:00+00:00,84,1.3
2019-02-22 16:00:00+00:00,2019-02-22 16:00:00+00:00,92,0.5
2019-02-22 17:00:00+00:00,2019-02-22 17:00:00+00:00,55,0.4
2019-02-22 18:00:00+00:00,2019-02-22 18:00:00+00:00,142,0.8
2019-02-22 19:00:00+00:00,2019-02-22 19:00:00+00:00,229,0.9
2019-02-22 20:00:00+00:00,2019-02-22 20:00:00+00:00,45,2.7
2019-02-22 21:00:00+00:00,2019-02-22 21:00:00+00:00,94,1.5
2019-02-22 22:00:00+00:00,2019-02-22 22:00:00+00:00,176,1.9
2019-02-22 23:00:00+00:00,2019-02-22 23:00:00+00:00,174,1.1
2019-02-23 00:00:00+00:00,2019-02-23 00:00:00+00:00,105,2.1
2019-02-23 01:00:00+00:00,2019-02-23 01:00:00+00:00,96,3.7
2019-02-23 02:00:00+00:00,2019-02-23 02:00:00+00:00,93,3.3
2019-02-23 03:00:00+00:00,2019-02-23 03:00:00+00:00,80,4.3
2019-02-23 04:00:00+00:00,2019-02-23 04:00:00+00:00,73,5
2019-02-23 05:00:00+00:00,2019-02-23 05:00:00+00:00,84,6.3
2019-02-23 06:00:00+00:00,2019-02-23 06:00:00+00:00,78,5.5
2019-02-23 07:00:00+00:00,2019-02-23 07:00:00+00:00,83,5.7
2019-02-23 08:00:00+00:00,2019-02-23 08:00:00+00:00,85,4.8
2019-02-23 09:00:00+00:00,2019-02-23 09:00:00+00:00,60,6.4
2019-02-23 10:00:00+00:00,2019-02-23 10:00:00+00:00,51,8
2019-02-23 11:00:00+00:00,2019-02-23 11:00:00+00:00,66,4.5
2019-02-23 12:00:00+00:00,2019-02-23 12:00:00+00:00,34,7.5
2019-02-23 13:00:00+00:00,2019-02-23 13:00:00+00:00,24,4.8
2019-02-23 14:00:00+00:00,2019-02-23 14:00:00+00:00,64,4.6
2019-02-23 15:00:00+00:00,2019-02-23 15:00:00+00:00,33,4.4
2019-02-23 16:00:00+00:00,2019-02-23 16:00:00+00:00,54,4.2
2019-02-23 17:00:00+00:00,2019-02-23 17:00:00+00:00,17,6.2
2019-02-23 18:00:00+00:00,2019-02-23 18:00:00+00:00,61,3.8
2019-02-23 19:00:00+00:00,2019-02-23 19:00:00+00:00,55,5.4
2019-02-23 20:00:00+00:00,2019-02-23 20:00:00+00:00,50,4
2019-02-23 21:00:00+00:00,2019-02-23 21:00:00+00:00,45,8.3
2019-02-23 22:00:00+00:00,2019-02-23 22:00:00+00:00,,
2019-02-23 23:00:00+00:00,2019-02-23 23:00:00+00:00,39,8.8
2019-02-24 00:00:00+00:00,2019-02-24 00:00:00+00:00,63,6.9
2019-02-24 01:00:00+00:00,2019-02-24 01:00:00+00:00,58,6.1
2019-02-24 02:00:00+00:00,2019-02-24 02:00:00+00:00,60,6.1
2019-02-24 03:00:00+00:00,2019-02-24 03:00:00+00:00,55,6.4
2019-02-24 04:00:00+00:00,2019-02-24 04:00:00+00:00,47,8.3
2019-02-24 05:00:00+00:00,2019-02-24 05:00:00+00:00,67,4.6
2019-02-24 06:00:00+00:00,2019-02-24 06:00:00+00:00,55,3.9
2019-02-24 07:00:00+00:00,2019-02-24 07:00:00+00:00,28,3.4
2019-02-24 08:00:00+00:00,2019-02-24 08:00:00+00:00,21,3.4
2019-02-24 09:00:00+00:00,2019-02-24 09:00:00+00:00,20,3.9
2019-02-24 10:00:00+00:00,2019-02-24 10:00:00+00:00,23,3
2019-02-24 11:00:00+00:00,2019-02-24 11:00:00+00:00,10,3
2019-02-24 12:00:00+00:00,2019-02-24 12:00:00+00:00,331,3.4
2019-02-24 13:00:00+00:00,2019-02-24 13:00:00+00:00,318,3
2019-02-24 14:00:00+00:00,2019-02-24 14:00:00+00:00,315,3.1
2019-02-24 15:00:00+00:00,2019-02-24 15:00:00+00:00,327,2.9
2019-02-24 16:00:00+00:00,2019-02-24 16:00:00+00:00,337,2.8
2019-02-24 17:00:00+00:00,2019-02-24 17:00:00+00:00,344,2.1
2019-02-24 18:00:00+00:00,2019-02-24 18:00:00+00:00,348,1.8
2019-02-24 19:00:00+00:00,2019-02-24 19:00:00+00:00,262,1.6
2019-02-24 20:00:00+00:00,2019-02-24 20:00:00+00:00,303,2.7
2019-02-24 21:00:00+00:00,2019-02-24 21:00:00+00:00,272,2.1
2019-02-24 22:00:00+00:00,2019-02-24 22:00:00+00:00,258,2.5
2019-02-24 23:00:00+00:00,2019-02-24 23:00:00+00:00,234,2.1
2019-02-25 00:00:00+00:00,2019-02-25 00:00:00+00:00,260,2.4
2019-02-25 01:00:00+00:00,2019-02-25 01:00:00+00:00,287,2.5
2019-02-25 02:00:00+00:00,2019-02-25 02:00:00+00:00,297,2.8
2019-02-25 03:00:00+00:00,2019-02-25 03:00:00+00:00,264,2.8
2019-02-25 04:00:00+00:00,2019-02-25 04:00:00+00:00,262,2.2
2019-02-25 05:00:00+00:00,2019-02-25 05:00:00+00:00,242,2.6
2019-02-25 06:00:00+00:00,2019-02-25 06:00:00+00:00,281,3.2
2019-02-25 07:00:00+00:00,2019-02-25 07:00:00+00:00,278,3.4
2019-02-25 08:00:00+00:00,2019-02-25 08:00:00+00:00,309,3.9
2019-02-25 09:00:00+00:00,2019-02-25 09:00:00+00:00,295,4.2
2019-02-25 10:00:00+00:00,2019-02-25 10:00:00+00:00,332,3.1
2019-02-25 11:00:00+00:00,2019-02-25 11:00:00+00:00,332,4
2019-02-25 12:00:00+00:00,2019-02-25 12:00:00+00:00,344,3.5
2019-02-25 13:00:00+00:00,2019-02-25 13:00:00+00:00,340,2
2019-02-25 14:00:00+00:00,2019-02-25 14:00:00+00:00,336,2.4
2019-02-25 15:00:00+00:00,2019-02-25 15:00:00+00:00,327,2.3
2019-02-25 16:00:00+00:00,2019-02-25 16:00:00+00:00,332,2.4
2019-02-25 17:00:00+00:00,2019-02-25 17:00:00+00:00,336,2.7
2019-02-25 18:00:00+00:00,2019-02-25 18:00:00+00:00,260,1.9
2019-02-25 19:00:00+00:00,2019-02-25 19:00:00+00:00,342,2.4
2019-02-25 20:00:00+00:00,2019-02-25 20:00:00+00:00,29,2.7
2019-02-25 21:00:00+00:00,2019-02-25 21:00:00+00:00,90,1
2019-02-25 22:00:00+00:00,2019-02-25 22:00:00+00:00,216,3.2
2019-02-25 23:00:00+00:00,2019-02-25 23:00:00+00:00,11,1.9
2019-02-26 00:00:00+00:00,2019-02-26 00:00:00+00:00,278,2.1
